,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,SaleType,SaleCondition,HouseAge,RemodAge,GarageAge,SalePrice
11,RL,4.442651256490317,9.386308454797962,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,177,1175,GasA,Ex,Y,SBrkr,1182,1142,7.751045117971802,1,3,0,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,147,21,NA,New,Partial,16,15,16.0,12.751299696013497
12,RL,4.249208678464876,9.470240063415512,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,175,912,GasA,TA,Y,SBrkr,912,0,6.815639990074331,1,1,0,TA,4,Typ,0,NA,Detchd,Unf,1,352,TA,TA,Y,140,0,NA,WD,Normal,59,59,59.0,11.877568578558138
13,RL,4.51085950651685,9.273502946933823,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1494,1494,GasA,Ex,Y,SBrkr,1494,0,7.309212365692763,0,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,3,840,TA,TA,Y,160,33,NA,New,Partial,15,14,15.0,12.540757571577291
14,RL,4.249208678464876,9.298351249298896,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,520,1253,GasA,TA,Y,SBrkr,1253,0,7.133295954896068,1,1,1,TA,5,Typ,1,Fa,Attchd,RFn,1,352,TA,TA,Y,0,213,NA,WD,Normal,61,61,61.0,11.964001084330445
15,RM,3.9318256327243257,8.719317375506371,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,832,832,GasA,Ex,Y,FuseA,854,0,6.74993119378857,0,1,0,TA,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,48,112,NA,WD,Normal,92,20,30.0,11.790557201568507
16,RL,4.249208678464876,9.327323087461798,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,426,1004,GasA,Ex,Y,SBrkr,1004,0,6.911747300251674,1,1,0,TA,5,Typ,1,TA,Attchd,Fin,2,480,TA,TA,Y,0,0,NA,WD,Normal,51,51,51.0,11.911701584927597
17,RL,4.276666119016055,9.286467732363734,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,GasA,TA,Y,SBrkr,1296,0,7.16703787691222,0,2,0,TA,6,Typ,0,NA,CarPort,Unf,2,516,TA,TA,Y,0,0,NA,WD,Normal,54,54,54.0,11.407564949312402
18,RL,4.189654742026425,9.524786081697178,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,468,1114,GasA,Ex,Y,SBrkr,1114,0,7.01571242048723,1,1,1,Gd,6,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,0,102,NA,WD,Normal,17,17,17.0,11.976659481202368
19,RL,4.248495242049359,8.930626469173578,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,525,1029,GasA,TA,Y,SBrkr,1339,0,7.199678345691172,0,1,0,TA,6,Min1,0,NA,Attchd,Unf,1,294,TA,TA,Y,0,0,NA,COD,Abnorml,63,56,63.0,11.842229212112828
20,RL,4.61512051684126,9.5620530240851,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,7.773173680482536,0,3,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,853,TA,TA,Y,240,154,NA,New,Partial,16,15,16.0,12.692503112461443
21,RM,4.04305126783455,8.915835074176277,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,637,637,GasA,Ex,Y,FuseF,1108,0,7.010311867307229,0,1,0,Gd,6,Typ,1,Gd,Attchd,Unf,1,280,TA,TA,N,0,0,NA,WD,Normal,91,71,91.0,11.845102777308561
22,RL,4.31748811353631,9.184201714366488,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1777,1777,GasA,Ex,Y,SBrkr,1795,0,7.492760300922379,0,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,2,534,TA,TA,Y,171,159,NA,WD,Normal,19,19,19.0,12.345834587905333
23,RM,3.784189633918261,8.348537825386098,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,200,1040,GasA,TA,Y,SBrkr,1060,0,6.966024187106113,1,1,0,TA,6,Typ,1,TA,Attchd,Unf,2,572,TA,TA,Y,100,110,NA,WD,Normal,45,45,45.0,11.77452020265869
24,RL,4.249208678464876,9.017483513266844,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,204,1060,GasA,Ex,Y,SBrkr,1060,0,6.966024187106113,1,1,0,Gd,6,Typ,1,TA,Attchd,Unf,1,270,TA,TA,Y,406,90,NA,WD,Normal,53,20,53.0,11.944707881395766
25,RL,4.700480365792417,9.563107691083898,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1566,1566,GasA,Ex,Y,SBrkr,1600,0,7.3777589082278725,0,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,3,890,TA,TA,Y,0,56,NA,WD,Normal,14,14,14.0,12.454103912352162
26,RL,4.0943445622221,8.881836305004146,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,180,900,GasA,TA,Y,SBrkr,900,0,6.802394763324311,0,1,0,Gd,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,222,32,NA,WD,Normal,70,21,16.0,11.811547477460344
27,RL,4.584967478670572,9.348187438668308,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,486,1704,GasA,Ex,Y,SBrkr,1704,0,7.440733707389261,1,2,0,Gd,7,Typ,1,Gd,Attchd,RFn,3,772,TA,TA,Y,0,50,NA,WD,Normal,14,13,13.0,12.631340380934517
28,RL,3.8501476017100584,9.700207901150696,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,207,1484,GasA,TA,Y,SBrkr,1600,0,7.3777589082278725,1,1,0,TA,6,Typ,2,Gd,Attchd,RFn,1,319,TA,TA,Y,288,258,NA,WD,Normal,64,24,64.0,12.24288661865289
29,RM,4.0943445622221,8.752107198329362,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,GasA,Fa,N,SBrkr,520,0,6.253828811575473,0,1,0,Fa,4,Typ,0,NA,Detchd,Unf,1,240,Fa,TA,Y,49,0,NA,WD,Normal,94,71,94.0,11.134589024250317
30,C (all),3.912023005428146,9.047821442478408,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,GasA,TA,N,SBrkr,649,668,7.183111701743281,0,1,0,TA,6,Typ,0,NA,Detchd,Unf,1,250,TA,Fa,N,0,54,NA,WD,Normal,101,71,101.0,10.596634733096073
31,RL,4.249208678464876,9.052984561199976,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1228,1228,GasA,Gd,Y,SBrkr,1228,0,7.113142108707088,0,1,1,Gd,6,Typ,0,NA,Attchd,Unf,1,271,TA,TA,Y,0,65,NA,WD,Normal,55,15,55.0,11.914047823644255
32,RL,4.442651256490317,9.310095205113175,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1234,1234,GasA,Ex,Y,SBrkr,1234,0,7.1180162044653335,0,2,0,Gd,7,Typ,0,NA,Attchd,RFn,2,484,TA,TA,Y,0,30,NA,WD,Normal,14,14,14.0,12.100156419938624
33,RL,4.248495242049359,9.26407069439715,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,380,1398,GasA,Gd,Y,SBrkr,1700,0,7.438383530044307,0,1,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,447,TA,TA,Y,0,38,NA,WD,Normal,62,62,62.0,12.016726473799254
34,RL,4.0943445622221,8.89740886527095,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,408,1561,GasA,Ex,Y,SBrkr,1561,0,7.353081920515432,1,2,0,Ex,6,Typ,1,Gd,Attchd,Fin,2,556,TA,TA,Y,203,47,NA,WD,Normal,16,16,16.0,12.533576212168626
35,RL,4.68213122712422,9.504352368122833,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,7.804659297056102,0,3,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,691,TA,TA,Y,113,32,NA,WD,Normal,17,16,17.0,12.641096555879882
36,RL,4.718498871295094,9.2927495082169,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1097,1097,GasA,Ex,Y,SBrkr,1097,0,7.00033446027523,0,1,1,TA,6,Typ,0,NA,Attchd,Unf,2,672,TA,TA,Y,392,64,NA,WD,Normal,27,26,26.0,11.884489021402711
37,RL,4.30406509320417,9.05157907959124,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,84,1297,GasA,Gd,Y,SBrkr,1297,0,7.167809184316444,0,1,0,TA,5,Typ,1,TA,Attchd,Fin,2,498,TA,TA,Y,0,0,NA,WD,Normal,67,31,67.0,11.938193200374572
38,RL,4.219507705176107,8.977398978181862,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,326,1057,GasA,TA,Y,SBrkr,1057,0,6.963189985870238,1,1,0,Gd,5,Typ,0,NA,Detchd,Unf,1,246,TA,TA,Y,0,52,NA,WD,Abnorml,68,14,68.0,11.59910316121128
39,RL,4.174387269895637,8.706159290928861,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,GasA,TA,N,FuseP,1152,0,7.049254841255837,0,2,0,Fa,6,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,0,NA,WD,AdjLand,66,66,42.466279912980326,11.314474526246391
40,RL,4.430816798843313,9.066239028001926,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,445,1088,GasA,Ex,Y,SBrkr,1324,0,7.188412736496954,0,2,0,TA,6,Typ,1,TA,Attchd,RFn,2,440,TA,TA,Y,0,138,NA,WD,Abnorml,56,56,56.0,11.982929094215963
41,RL,4.74493212836325,9.735364715141987,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,383,1350,GasA,Gd,Y,SBrkr,1328,0,7.191429330036379,0,1,1,TA,5,Typ,2,Gd,Attchd,RFn,1,308,TA,TA,P,0,104,NA,WD,Normal,62,62,62.0,12.043553716032399
42,RL,4.249208678464876,9.124782483614537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,0,840,GasA,Gd,Y,SBrkr,884,0,6.784457062637643,1,1,0,Gd,5,Typ,0,NA,Attchd,RFn,2,504,TA,Gd,Y,240,0,NA,WD,Normal,38,38,38.0,11.877568578558138
43,RL,4.249208678464876,9.126958763037132,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,167,938,GasA,TA,Y,SBrkr,938,0,6.843749949006225,1,1,0,TA,5,Typ,0,NA,Detchd,Unf,1,308,TA,TA,Y,145,0,NA,WD,Normal,46,41,44.0,11.777210959615614
44,RL,4.248495242049359,8.980298078970817,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,465,1150,GasA,Ex,Y,FuseA,1150,0,7.047517221357296,1,1,0,TA,6,Typ,0,NA,Attchd,RFn,1,300,TA,TA,Y,0,0,NA,WD,Normal,62,62,62.0,11.856515169360305
45,RL,4.110873864173311,8.943506132037239,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,1296,1752,GasA,Ex,Y,SBrkr,1752,0,7.468513271496337,1,2,0,Ex,6,Typ,1,Gd,Attchd,RFn,2,576,TA,TA,Y,196,82,NA,WD,Normal,16,16,16.0,12.675763725937609
46,RL,3.871201010907891,9.458917724547202,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,83,1434,GasA,Ex,Y,SBrkr,1518,631,7.67275789664251,1,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,670,TA,TA,Y,168,43,NA,WD,Abnorml,18,18,18.0,12.387085012375499
47,FV,4.430816798843313,9.314339961994667,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1632,1656,GasA,Ex,Y,SBrkr,1656,0,7.412160334945205,0,2,0,Gd,7,Typ,0,NA,Attchd,RFn,3,826,TA,TA,Y,0,146,NA,WD,Normal,15,15,15.0,12.428015476267865
48,RM,3.4965075614664802,8.40200678160712,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,736,736,GasA,Gd,Y,SBrkr,736,716,7.280697195384741,0,2,0,TA,8,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,0,NA,New,Partial,101,13,42.466279912980326,11.635143097694478
49,RL,4.189654742026425,8.954415331137593,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,192,955,GasA,Ex,Y,SBrkr,955,0,6.86171134048073,1,1,0,TA,6,Typ,0,NA,Attchd,Unf,1,386,TA,TA,Y,0,0,NA,WD,Normal,55,55,55.0,11.751942365440728
50,RL,4.249208678464876,9.537411412656335,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,612,794,GasA,Gd,Y,SBrkr,794,676,7.293017679772782,0,2,0,TA,6,Typ,0,NA,Attchd,Fin,2,388,TA,TA,Y,0,75,NA,WD,Normal,24,24,24.0,12.083905011555967
51,RM,3.9512437185814275,8.738735461363474,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,816,816,GasA,TA,Y,SBrkr,816,0,7.069874128458572,0,1,0,TA,6,Typ,1,Gd,Detchd,Unf,2,528,TA,TA,Y,112,0,NA,WD,Normal,87,71,36.0,11.648330101976432
52,RM,4.700480365792417,9.044521887281242,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,0,816,GasA,TA,N,SBrkr,816,0,6.704414354964107,1,1,0,TA,5,Typ,0,NA,CarPort,Unf,2,516,TA,TA,Y,106,0,NA,WD,Normal,58,58,58.0,11.608235644774552
53,RL,4.219507705176107,10.825183649068833,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,Gable,WdShngl,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,32,1842,GasA,Gd,Y,SBrkr,1842,0,7.518607216815252,2,0,1,Gd,5,Typ,1,Gd,Attchd,Fin,3,894,TA,TA,Y,857,72,NA,WD,Normal,40,34,40.0,12.86099861326992
